name,description,category,price
Penny Ceramic Puppy Mug,"With cute floppy ears and gold spots, our Penny Ceramic Puppy Mug is a must-have for tea-sipping dog-lovers. This adorable mug will brighten your day with a white ceramic exterior, pink interior, and metallic gold spots and accents. For an extra little treat, the bottom of the inside of the mug says ""love"" in cute lettering.


Capacity: Holds 16 oz.

Material: Ceramic with  metallic gold finish

Care: Hand wash recommended


 
Pinky Up tea is all about making loose leaf tea brewing easy and fun for everyone. With delicious dessert-inspired loose leaf teas, tea infuser mugs, cute teapots, electric kettles, tea strainers, and everything a tea-lover could dream of, our products are perfect for tea parties or brewing on the go. Complete with cute packaging, Pinky Up tea and teaware makes a beautiful gift or charming addition to any home.",Faire,17.50
Phone Mom,"Greeting: ""Thanks for Always Picking Up the Phone Mom"" (Blank Inside)
Printing: Pink Matte Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,6.00
Pigs N' Taters Milk Chocolate Candy Bar 2.25oz,"Deliciously sweet and salty! This yummy Pigs N' Taters Chocolate Bar combines a delicious mix of bacon, potato chips and milk chocolate.
Size. 2.25 oz.",Faire,3.64
Piper™ Gold Press Pot by Pinky Up®,"French style and press! This 34 oz. gold french press has a gold-plated stainless steel frame to serve the hottest drinks while staying cool to the touch. 

34 oz. capacity gold finish. Holds 34 oz. Borosilicate glass and gold finish. Brews tea and coffee within minutes.
Pinky Up tea is all about making loose leaf tea brewing easy and fun for everyone. With delicious dessert-inspired loose leaf teas, tea infuser mugs, cute teapots, electric kettles, tea strainers, and everything a tea-lover could dream of, our products are perfect for tea parties or brewing on the go. Complete with cute packaging, Pinky Up tea and teaware makes a beautiful gift or charming addition to any home.",Faire,26.50
Plantain Chips,,Faire,2.65
Pothead Coffee Sticker,"Details: 2.62"" x 3"".
Water and weather resistant.
High quality and durable.

High-quality vinyl stickers - Our stickers are perfect as water bottle stickers, skateboard stickers, laptop stickers and more.",Faire,3.00
Refresh Glass Bottle,,Faire,19.99
RX A.M. Oats Apple Cinnamon Oat Cups,"Our gluten-free Apple Cinnamon oatmeal cups are made with real, simple ingredients like crisp apples, sliced almonds, egg whites for protein, and cinnamon spices. Finally, quick and easy breakfast on the go is a meal you don’t want to miss. Ready in minutes with hot water or a microwave, or you can fill it and chill it to make overnight oats.
2.18 oz
12 cups",Faire,3.49
RX A.M. Oats Maple Oat Cups,"Our gluten-free Maple oatmeal cups are made with real, simple ingredients like egg whites for protein, sliced almonds, and a pinch of natural maple sugar. Quick and easy breakfast on the go is finally worth waking up for. Ready in minutes with hot water or a microwave, or you can fill it and chill it to make overnight oats.
2.18 oz
12 cups",Faire,3.49
RXBAR Blueberry Protein Bar,"Picking the perfect protein snack just got a whole lot easier. Made with blueberries and real food ingredients–egg whites for protein, dates to bind, and nuts for texture. This real food protein bar is the perfect breakfast time (or anytime) energy boost you need.",Faire,2.99
RXBAR Chocolate Chip Protein Bar,"These chocolate chip protein bars are made with rich 100% chocolate and a few other real food ingredients - egg whites for protein, dates to bind, and nuts for texture. This gluten-free, guilt-free protein bar is the perfect wholesome snack for a healthy lifestyle.
1.83 oz.
12 count.",Faire,2.99
RXBAR Chocolate Sea Salt Protein Bar,"We made a brownie without the guilt–or gluten. Packed with 100% chocolate, a sprinkle of sea salt, and a few real food ingredients–egg whites for protein, dates to bind, and nuts for texture. This decadent wholesome protein bar is truly one of a kind.
1.83 oz.
12 count.",Faire,2.99
RXBAR Peanut Butter Protein Bar,"We turned your post-workout snack into a bar and packed it with protein. Made with real food––egg whites for protein, dates to bind and nuts for texture. Our gluten-free high protein bar is sure to pack a peanut buttery punch.
1.83 oz.
12 count.",Faire,2.99
RXBAR Strawberry Protein Bar,"We all love strawberries; drizzled on cheesecake or thrown into your favorite smoothie recipe. But what about in a 12g protein bar paired with a few other simple ingredients? Egg whites for protein, dates to bind and nuts for texture. Strawberry goodness you know you and love – all packed into a portable protein bar that matches your active lifestyle. Simple ingredients, No B.S",Faire,2.33
So Glad You're Mine Happy Valentine's Day Greeting Card,"• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,5.00
Strength Friendship Card,,Faire,4.50
Sweetest Mama Birthday,"Greeting: ""Happy Birthday to the Sweetest Mama"" (Blank Inside)
Printing: Bright Red Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,5.50
Thank you Blobs,"Greeting: ""Thank you!"" (Blank Inside)
Printing: Copper Spectrum Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,5.50
Thanks Mom,"Greeting: ""Thanks for Being My Mom"" (Blank Inside)
Printing: White Foil
Card size: 5.5"" x 4.25"", Folded
Paper: thick colored stock with coordinating A2 envelope",Faire,5.50
Two Pack | Coco Coir Pole for Plant Support (Large),"Ideal plant support for indoor climbing plants and vines while maintaining moisture for aerial roots absorption. Made from natural and biodegradable coconut husk, the pole is safe and sturdy for training climbing plants Monsteras to grow upright. As your plant grow bigger, new poles are easily stacked on top of each other to accommodate the new height.
What is coco coir?
Coco coir is a byproduct of coconut processing leaving behind fibrous coconut husk.  Although the properties are similar to peat moss in terms of weight and texture, however, coco coir is much more environmentally friendly than peat moss with less impact on the ecosystem.
Large Coco Coir Pole:
Measurements: 2in Diameter x 11in height (5in wooden stake height)",Faire,18.94
Two Pack | Coco Coir Pole for Plant Support (Small),"Ideal plant support for indoor climbing plants and vines while maintaining moisture for aerial roots absorption. Made from natural and biodegradable coconut husk, the pole is safe and sturdy for training climbing plants Monsteras to grow upright.
What is coco coir?
Coco coir is a byproduct of coconut processing leaving behind fibrous coconut husk.  Although the properties are similar to peat moss in terms of weight and texture, however, coco coir is much more environmentally friendly than peat moss with less impact on the ecosystem.
Small Coco Coir Pole:
Measurements: 0.75in Diameter x 11in height (3.15in wooden stake height)",Faire,16.46
Valentines Heart Gummies 7oz,"Celebrate Someone you love with these sweet, heart gummies. Great gift for a friend or to treat yourself. Strawberry-Banna and Wild Cherry Flavored. Great for Valentines day and Mother's Day. 12/cs",Faire,7.70
"Vinyl Sticker We're More than Friends, Friends Gift","☁️ Ready to ship, Scratch & Fade Resistant, Peel Here Tab for easy application
☁️ Approximately 3 x 3 (3 X 4 inches packaged)
☁️  Glossy Vinyl laminate Sticker
☁️ Individually Packaged in cellophane
☁️ Durable vinyl, perfect for indoor use
☁️ Dishwasher Safe up to 3 yrs
☁️ Don't forget to clean the surface before applying the sticker
☁️ Designed in Illinois
Set of one has one sticker in package
Set of 3 has 3 stickers in one package. The set of 3 is popular gift for friend groups.
Stickers will ship separately from mugs.",Faire,4.50
Warm Wishes Holiday Card,"Greeting: ""Warm Wishes, And Holiday Kisses"" (Blank Inside).
Printing: Gold Foil.
Card size: 5.5"" x 4.25"", Folded.
Paper: thick colored stock with coordinating A2 envelope.
(Boxed set of 6).",Faire,20.00
Welcome To Opelousas Mug,,Faire,13.99
Where God Guides He Provides Sticker,"• Size: 3"" sticker
• Durable weatherproof vinyl sticker",Faire,3.00
Wishing You a Merry Christmas Greeting Card,"• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,5.00
You are So Loved Greeting Card | Valentine's Day,"• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,5.00
You Are Weird and Wonderful Greeting Card,"The perfect greeting card for your sibling, best friend, or significant other. This card sums them up in a nutshell - all things weird and wonderful. A funny sentiment with some sass makes this a great card for a birthday, anniversary, or anything in between.
• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,4.50
You're the Bee's Knees Greeting Card,"A vintage-inspired card for someone who is the bee's knees, this funny friendship card can say thank you, happy birthday, or offer encouragement. Sweet like honey and ready for your handwritten touch on the inside.
• Size: A2 folded, 4.25 x 5.5 inches
• Individually packaged in a clear sleeve, ready to display
• Kraft envelope included
• Blank on the inside
• High-quality, heavyweight paper
• Professionally printed in Omaha, NE",Faire,4.50
You’re the worst card,,Faire,4.50
Autumn Squash Soup,10oz soup,Food,3.97
Bagel,,Food,1.85
Banana Nut Muffin,,Food,2.95
Berry Parfait,,Food,3.95
Blueberry Banana Mix,,Food,3.15
Blueberry Cheese Cake Muffins,,Food,4.10
Blueberry fig bar,,Food,0.98
Blueberry Muffins,,Food,2.95
Brownie,,Food,2.25
Chocolate Muffin,,Food,3.95
Christmas Cookie,,Food,1.00
Coffee Cake Muffin,,Food,2.35
Cookie,,Food,1.85
Jalapeno Sausage Bread,,Food,4.10
Kettle Chips,,Food,1.40
King cake,,Food,2.75
Pumpkin cheesecake stuffed croissant,,Food,3.72
Raspberry fig bar,,Food,0.98
Sandwich,,Food,4.85
Sandwich [half],,Food,2.55
Sandwich/8oz Soup Combo,,Food,8.89
Scone,,Food,2.75
Soup (bowl),,Food,6.25
Soup (cup),,Food,4.25
Southwest Salad,,Food,4.56
Stuffed Croissant,,Food,4.25
Sweet Kale Salad,,Food,4.56
Vegan Breakfast Sandwich,,Food,5.45
Wraps,,Food,7.55
Americano,,Hot Drinks,2.67
Americano,,Hot Drinks,3.17
Americano,,Hot Drinks,3.67
Cafe au Lait,,Hot Drinks,2.35
Cafe au Lait,,Hot Drinks,2.85
Cafe au Lait,,Hot Drinks,3.35
Cappuccino,,Hot Drinks,3.17
Cappuccino,,Hot Drinks,3.67
Cappuccino,,Hot Drinks,4.17
Chai Latte,,Hot Drinks,3.47
Chai Latte,,Hot Drinks,3.97
Chai Latte,,Hot Drinks,4.47
Double Shot Espresso,,Hot Drinks,2.49
Drip Coffee,,Hot Drinks,2.47
Drip Coffee,,Hot Drinks,2.97
Drip Coffee,,Hot Drinks,3.47
Full Carafe Drip,,Hot Drinks,25.00
Gelato,,Hot Drinks,3.25
Gelato,,Hot Drinks,3.80
Gelato,,Hot Drinks,4.35
Holiday Drip Coffee,,Hot Drinks,2.48
Holiday Drip Coffee,,Hot Drinks,3.00
Holiday Drip Coffee,,Hot Drinks,3.51
Hot Chocolate,,Hot Drinks,2.42
Hot Chocolate,,Hot Drinks,2.92
Hot Chocolate,,Hot Drinks,3.42
Latte,,Hot Drinks,3.27
Latte,,Hot Drinks,3.67
Latte,,Hot Drinks,4.47
Macchiato,,Hot Drinks,3.40
Macchiato,,Hot Drinks,3.90
Macchiato,,Hot Drinks,4.40
Mocha,,Hot Drinks,3.49
Mocha,,Hot Drinks,3.99
Mocha,,Hot Drinks,4.49
RedEye,,Hot Drinks,4.24
Single Shot Espresso,,Hot Drinks,1.79
Steamer,,Hot Drinks,2.15
Steamer,,Hot Drinks,3.95
Steamer,,Hot Drinks,3.15
Tea,,Hot Drinks,2.15
Tea,,Hot Drinks,2.65
Tea,,Hot Drinks,3.15
Triple Shot Espresso,,Hot Drinks,2.95
20 oz RTIC Tumbler - White,"RTIC stainless steel drinkware is double wall Vacuum insulated. Keeps your drinks ice cold longer - works great for hot beverages. The included all-new Shaded splash proof lid lets you know exactly how much drink you have. The Flip-Top closure resists spills and is straw friendly. Easy to clean.
Keeps ice Longer - holds ice for up to 24 hours
Keeps it hot - works great for hot beverages
18/8 stainless steel - strong stainless steel construction
Narrow and tall design. Easy grip base. No sweat exterior",Merchandise,19.95
Create Mug,,Merchandise,16.99
Face Masks,,Merchandise,1.00
Going to be good mug,,Merchandise,12.00
Holiday Mug,,Merchandise,10.00
Hug In A Mug,,Merchandise,12.99
Hustle Mug,,Merchandise,16.99
Java Square Mug,"Handcrafted — 14 oz; 4.25″h. Dishwasher, microwave and oven safe. 100% lead-free. FDA and California Proposition 65 compliant. Ounces may vary. The Java Square mug is shown in frothy brown glaze. Due to the nature of our process, styles and glazes will vary a little.",Merchandise,21.99
Less Monday Mug,,Merchandise,12.99
Life Happens Mug,,Merchandise,12.99
Life Is short,,Merchandise,12.99
Mask love,,Merchandise,4.25
Gumbo,,Seasonal,4.75
Pumpkin Bread,,Seasonal,2.90
Pumpkin Yaya Muffins,,Seasonal,2.85
1/2 Sandwich & Soup Combo,,,6.45
